name,ingredients,ingredients_measurements,recipe,garnish,glass
apple buck,"apple juice, avallen calvados, ginger ale, lime juice, sour apple liqueur","[['4.5 cl', 'Avallen Calvados'], ['1.5 cl', 'Sour apple liqueur'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Ginger Ale']]",SHAKE first four ingredients with ice and strain into ice-filled glass. TOP with ginger ale.,Apple wedge,Collins glass
apple cart,"apple schnapps liqueur, avallen calvados, chilled water, lemon juice, triple sec","[['4.5 cl', 'Avallen Calvados'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Apple Schnapps liqueur (optional)'], ['1 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Optional sugar rim with apple wedge on rim or float dehydrated apple slice,Coupe glass
apple crumble cocktail #1,"apple juice, butterscotch liqueur, lemon juice, sugar syrup, whisky","[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['0.75 cl', 'Butterscotch liqueur'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apple wedge,Martini glass
apple crumble cocktail #2,"apple juice, lemon juice, tuaca liqueur","[['6 cl', 'Tuaca liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['6 cl', 'Apple juice']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Dust with cinnamon powder,Martini glass
apple daiquiri,"apple juice, light rum, lime juice, sugar syrup","[['6 cl', 'Bacardi Carta Blanca light rum'], ['4.5 cl', 'Apple juice'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apple wedge,Martini glass
apple mac,"apple juice, ginger wine, whisky","[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['4.5 cl', 'Apple juice'], ['1.5 cl', ""Stone's Original Green Ginger Wine""]]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apple slice,Martini glass
apple manhattan,"apple schnapps liqueur, bourbon whiskey, sweet vermouth","[['5 cl', 'Bourbon whiskey'], ['3.5 cl', 'Apple Schnapps liqueur'], ['1.25 cl', 'Martini Rosso sweet vermouth']]",STIR all ingredients with ice and strain into chilled glass.,"Apple wedge, apple fan or dehydrated apple slice",Martini glass
apple martini (simple),"apple juice, sugar syrup, vodka","[['6 cl', 'Ketel One Vodka'], ['5.25 cl', 'Apple juice'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Luxardo Maraschino cherry,Martini glass
apple martini (iba spec),"apple schnapps liqueur, triple sec, vodka","[['6 cl', 'Ketel One Vodka'], ['2.25 cl', 'Apple Schnapps liqueur'], ['2.25 cl', 'De Kuyper Triple Sec (40%)']]",STIR all ingredients with ice and fine strain into chilled glass.,Apple slice,Martini glass
apple mojito,"apple schnapps liqueur, light rum, lime juice, mint leaves","[['12 fresh', 'Mint leaves'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'Apple Schnapps liqueur'], ['3 cl', 'Lime juice (freshly squeezed)']]","Lightly MUDDLE (just to bruise) mint in base of glass. Add other ingredients, half fill glass with crushed ice and CHURN (stir) with bar spoon. Fill glass to brim with more crushed ice and CHURN some more. Serve with straws.",Mint sprig,Collins glass
apple of one's eye,"apple juice, cognac, ginger beer, lime juice","[['6 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['4.5 cl', 'Apple juice'], ['Top up with', 'Thomas Henry Ginger Beer']]",SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with ginger beer.,Apple wedge,Collins glass
apple pie cocktail,"apple juice, bison grass vodka, cinnamon schnapps & goldwasser liqueurs, cranberry juice","[['4.5 cl', 'Bison grass vodka'], ['1.5 cl', 'Cinnamon schnapps & Goldwasser liqueurs'], ['6 cl', 'Apple juice'], ['3 cl', 'Cranberry juice (sweetened)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apple wedge,Martini glass
apple pie shot,"apple schnapps liqueur, hazelnut liqueur, single cream / half-and-half","[['3 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'Hazelnut liqueur'], ['0.75 cl', 'Single cream / half-and-half']]",SHAKE first 2 ingredients with ice and strain into chilled glass. FLOAT cream on drink by carefully pouring over the back of a spoon.,Dust with cinnamon powder,Shot glass
appleissimo,"apple juice, apple schnapps liqueur, cranberry juice, pernod anise","[['4.5 cl', 'Apple Schnapps liqueur'], ['6 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['4.5 cl', 'Pernod anise']]",SHAKE first 3 ingredients with ice and strain into ice-filled glass. TOP with anis and serve with straws.,Apple slice,Collins glass
apple spritz,"apple schnapps liqueur, brut champagne, peachtree peach schnapps","[['2.25 cl', 'Apple Schnapps liqueur'], ['0.75 cl', 'Peachtree peach schnapps'], ['Top up with', 'Brut Champagne']]",POUR first 2 ingredients into glass then TOP with champagne.,Peach slice,Flute glass
apple strudel (by alex kammerling),"apple juice, apple schnapps liqueur, brown creme de cacao, cinnamon schnapps & goldwasser liqueurs, dutch cacao white creme de cacao, single cream / half-and-half","[['3 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'De Kuyper Brown Crème de Cacao'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Cinnamon schnapps & Goldwasser liqueurs'], ['3 cl', 'Apple juice'], ['2.25 cl', 'Single cream / half-and-half']]",SHAKE first 5 ingredients with ice and fine strain into chilled glass. Carefully FLOAT cream by pouring over the back of a spoon.,Dust with cinnamon powder,Martini glass
apple strudel,"apple juice, apple schnapps liqueur, cinnamon sugar syrup, martini extra dry vermouth, vodka, whisky","[['4.5 cl', 'Ketel One Vodka'], ['1.5 cl', ""Dewar's 12 Year Old Scotch whisky""], ['1.5 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Apple juice'], ['0.5 cl', 'Cinnamon sugar syrup']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Cinnamon & sugar rim,Coupe glass
apple sunrise,"avallen calvados, noir de bourgogne cassis, orange juice","[['6 cl', 'Avallen Calvados'], ['10.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Giffard Noir de Bourgogne Cassis']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Apple slice,Collins glass
temperance apple mojito (non-alcoholic),"apple juice, lemon juice, lime juice, mint leaves, soda water, sugar syrup","[['12 fresh', 'Mint leaves'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['9 cl', 'Apple juice'], ['Top up with', 'Thomas Henry Soda Water']]","PLACE mint, lemon, lime and sugar in glass. Half fill glass with crushed ice and CHURN (stir). Add more crushed ice to fill glass. Add apple juice, top with soda and CHURN some more. Serve with straws.",Mint sprig,Collins glass
applesinth,"absinthe, apple juice, apple schnapps liqueur, lime juice, sugar syrup","[['3 cl', 'La Fée Parisienne absinthe'], ['3 cl', 'Apple Schnapps liqueur'], ['6 cl', 'Apple juice'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,Apple wedge,Old-fashioned glass
apples 'n' pears,"apple juice, avallen calvados, pear & cognac liqueur, vodka","[['2.5 cl', 'Avallen Calvados'], ['2 cl', 'Ketel One Vodka'], ['1.5 cl', 'Pear & cognac liqueur'], ['3 cl', 'Apple juice']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apple or pear slice,Coupe glass
appily married,"apple juice, grapefruit juice, honey syrup, vodka","[['5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Apple juice'], ['1.5 cl', 'Grapefruit juice (pink)'], ['1 cl', 'Honey syrup (3 honey to 1 water)']]",SHAKE all ingredients with ice and fine strain into chilled pre-prepared glass.,Cinnamon & sugar rim,Coupe glass
apricot cosmo,"apricot jam, cranberry juice, lime juice, orange bitters, sugar syrup, vodka","[['6 cl', 'Ketel One Vodka'], ['1 spoon', 'Apricot jam (preserve)'], ['3 cl', 'Cranberry juice (sweetened)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['2 dash', 'Orange Bitters by Angostura']]","STIR apricot preserve with vodka until preserve dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Apricot slice,Martini glass
apricot fizz,"apricot brandy liqueur, lime juice, orange juice, soda from siphon","[['6 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Soda from siphon']]",SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda water.,Lemon wedge,Collins glass
apricot lady sour,"apricot brandy liqueur, lemon juice, light rum, pasteurised egg white, sugar syrup","[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) to emulsify and fine strain into chilled glass.,Lemon slice & Luxardo Maraschino cherry on stick (sail),Old-fashioned glass
apricot mango cocktail,"apricot brandy liqueur, dry gin, lemon juice, mango puree, orange bitters, sugar syrup","[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'De Kuyper Apricot Brandy liqueur'], ['2.25 cl', 'Mango purée'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Orange Bitters by Angostura']]",SHAKE all ingredients with ice and fine strain into glass.,Mango slice,Martini glass
apricot martini,"angostura aromatic bitters, apricot brandy liqueur, chilled water, dry gin, grenadine syrup, lemon juice","[['4.5 cl', 'Rutte Dry Gin'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['0.5 cl', 'Giffard Grenadine syrup'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['3 dash', 'Angostura Aromatic Bitters'], ['2.25 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lemon zest twist,Martini glass
april shower,"benedictine d.o.m., cognac, orange juice","[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Bénédictine D.O.M.'], ['3 cl', 'Orange juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist,Coupe glass
apricot sour,"apple juice, apricot brandy liqueur, apricot jam, bourbon whiskey, lemon juice","[['2 spoon', 'Apricot jam (preserve)'], ['4.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]","STIR apricot jam (preserve) with bourbon until it dissolves. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.",Lemon zest twist,Old-fashioned glass
aquarius,"cherry heering cherry brandy liqueur, cranberry juice, whisky","[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Cherry Heering cherry brandy liqueur'], ['4.5 cl', 'Cranberry juice (sweetened)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Lemon slice & Luxardo Maraschino cherry on stick (sail),Old-fashioned glass
arizona breeze,"cranberry juice, dry gin, grapefruit juice","[['6 cl', 'Rutte Dry Gin'], ['7.5 cl', 'Cranberry juice (sweetened)'], ['4.5 cl', 'Grapefruit juice (pink)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Grapefruit wedge,Collins glass
arnaud (parisian nights),"dry gin, martini extra dry vermouth, noir de bourgogne cassis","[['3 cl', 'Rutte Dry Gin'], ['3 cl', 'Martini Extra Dry vermouth'], ['3 cl', 'Giffard Noir de Bourgogne Cassis']]",STIR all ingredients with ice and strain into chilled glass.,Blackberries,Coupe glass
artlantic,"apple juice, blue curacao, disaronno amaretto, lime juice, spiced rum","[['3 cl', 'Spiced rum'], ['1.5 cl', 'Disaronno amaretto'], ['1.5 cl', 'De Kuyper Blue Curaçao'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['9 cl', 'Apple juice']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Orange wedge,Collins glass
asian ginger cocktail,"root ginger, sake, sugar syrup, vodka","[['2 slice', 'Root ginger (thumbnail-sized slice)'], ['6.75 cl', 'Sake'], ['4.5 cl', 'Ketel One Vodka'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Fresh ginger slice,Martini glass
asian mary,"citroen vodka, lemon juice, root ginger, soy sauce, tomato juice, wasabi paste","[['3 slice', 'Root ginger (thumbnail-sized slice)'], ['3 pea', 'Wasabi paste'], ['9 cl', 'Ketel One Citroen Vodka'], ['1 spoon', 'Soy sauce'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['12 cl', 'Tomato juice']]","MUDDLE ginger in base of shaker and add vodka. Squeeze wasabi paste onto bar spoon and STIR with vodka and ginger until dissolved. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.",Lemongrass,Collins glass
asian pear cocktail,"lemon juice, pear & cognac liqueur, pear juice, poire william eau-de-vie, sake","[['6 cl', 'Sake'], ['0.75 cl', 'Pear & cognac liqueur'], ['1.5 cl', 'Poire William eau-de-vie'], ['4.5 cl', 'Pear juice (freshly pressed)'], ['0.75 cl', 'Lemon juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Pear slice,Martini glass
assisted suicide,"cola, jagermeister, light rum","[['3 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Jägermeister'], ['Top up with', 'Cola (e.g. Coca Cola & Pepsi Cola)']]",SHAKE first 2 ingredients with ice and strain into chilled glass. TOP with Coca-Cola.,,Shot glass
atholl brose,"disaronno amaretto, drambuie liqueur, honey, oat milk / oatmeal water, single cream / half-and-half, whisky","[['2 spoon', 'Honey'], ['4 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Oat milk / oatmeal water'], ['0.5 cl', 'Drambuie liqueur'], ['0.5 cl', 'Disaronno amaretto'], ['1 cl', 'Single cream / half-and-half']]","STIR honey with Scotch in base of shaker until honey dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Dust with grated nutmeg,Coupe glass
atlantic breeze,"apricot brandy liqueur, galliano l'autentico liqueur, lemon juice, light rum, pineapple juice","[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['0.75 cl', ""Galliano L'Autentico liqueur""], ['7.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Orange slice,Collins glass
atomic cocktail,"amontillado sherry, brut champagne, cognac, vodka","[['3 cl', 'Ketel One Vodka'], ['3 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Amontillado sherry'], ['2 cl', 'Brut Champagne']]",STIR first 3 ingredients with ice and fine strain into chilled glass. TOP with champagne.,Orange zest twist,Coupe glass
atomic dog,"coconut rum liqueur, green melon liqueur, lemon juice, light rum, pineapple juice","[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['2.25 cl', 'Green melon liqueur'], ['2.25 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['7.5 cl', 'Pineapple juice (fresh pressed)'], ['2.25 cl', 'Lemon juice (freshly squeezed)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Pineapple wedge & Luxardo Maraschino cherry,Collins glass
attitude adjuster,"coffee liqueur, cola, dry gin, lime juice, orange liqueur, triple sec","[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['7.5 cl', 'Cola (e.g. Coca Cola & Pepsi Cola)'], ['0.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['0.5 cl', 'Coffee liqueur']]",SHAKE first 3 ingredients with ice and strain into ice-filled glass. TOP with cola then DRIZZLE orange and coffee liqueurs.,Orange slice & cherry on stick (sail),Hurricane glass
aunt agatha,"angostura aromatic bitters, navy rum, orange juice, pineapple juice","[['4.5 cl', 'Navy rum (54.5% alc./vol.)'], ['6 cl', 'Orange juice (freshly squeezed)'], ['3 cl', 'Pineapple juice (fresh pressed)'], ['3 dash', 'Angostura Aromatic Bitters']]",SHAKE first 3 ingredients with ice and strain into glass filled with crushed ice. DASH bitters over surface.,Orange zest twist,Old-fashioned glass
aunt emily,"apricot brandy liqueur, avallen calvados, dry gin, grenadine syrup, orange juice","[['2.25 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Avallen Calvados'], ['2.25 cl', 'De Kuyper Apricot Brandy liqueur'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['0.5 cl', 'Giffard Grenadine syrup']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist or apricot wedge on rim,Coupe glass
auntie's hot xmas punch,"apple juice, cognac, lemon juice, pedro ximenez sherry, peychaud's or other creole-style bitters","[['4.5 cl', 'Pedro Ximénez sherry'], ['6.75 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['9 cl', 'Apple juice'], ['4 dash', ""Peychaud's or other Creole-style bitters""]]","POUR all ingredients into glass and stir. MICROWAVE for 40 seconds (vary time depending on your microwave oven), stir again and serve.",Cinnamon stick,Toddy glass
